text,Sentiments
"While the soup is delicious the packaging does not actually say Gluten Free. It is manufactured in a facility with other allergens, so if cross contamination is an issue for you, avoid this.",negative
Exactly what I was looking for...AND I got it on sale over the holidays!!,positive
These are also a a hit with the chemo patients.,positive
Great price. Good for when you are a little hungry for snack.,positive
"it taste horrible, Id rather have the miracle noodles now that I know that is an alternative",negative
This always works great for me. However you can’t get it in stores now.,positive
Love these. They came just as expected and easy to order online because sometimes I cannot find them in stores.,positive
"Love this stuff. Sometimes I just eat this for dinner and have a piece of fruit. Then if you slip in a Hot Spicy V8, you've had a good rounded meal.",positive
Very comfortable & warm... it molds to your body.,positive
"Let me preface this review by saying that I only use Stevia in coffee and tea. Therefore, I have no idea how well this product works for baking and cooking. Having used this product for several months, I think it is great overall. Of course, the Stevia products that have fillers taste better and are supposedly less bitter. However, they are simply not good for you.  I actually think this Stevia Select tastes better than Truvia.For me, locating and purchasing Stevia has been a process. After being told by my nutritionist that Splenda and all artificial sweetners were not good for my health, I started using Truvia and Stevia in the Raw.  After reading the ingredients, I realized that Truvia, Stevia in the Raw, and products like it were. not only processed, but full of fillers.. So I began searching for the ""purest perfect"" Stevia sweetner.  In my opinion, the taste and sweetness of this Stevia Select  product is great----certainly better than damaging your health with a lot of fillers, many of which are just another form of sugar.This product is also Organic ---Non GMO. Since it is a white powder, it IS processed. However, according to the seller, they do not use chemicals. The seller previously stated that Stevia Select was grown in Paraguay. However, unfortunately, now they indicate that it is also grown in China. After doing considerable research, the only Organic Stevia that is totally ""PURE"" and unprocessed is a GREEN powder (basically the actual Stevia leaf ground up into a powder). Reviewers have said that it colors coffee and tea green, is less sweet, and has a different less pleasant taste. However, this green unprocessed power is the ONLY pure Stevia. So like me, consumers must decide if they are more concerned about health or the best tasting product. I gave this 5 stars since I believe it is the best tasting white powder Stevia and I have tried many. It is also probably healthier than most white powders, since it is Organically grown, no fillers, and although processed, not chemically processed.  Since I try to put health benefits FIRST and taste second, I am currently looking into the best Organically grown Raw, unprocessed Green powder (ground Stevia) from the plant. I realize I will have to sacrifice sweetness and taste.So, bottom line, if  you are looking for a good tasting and pretty healthy ""white"" powder Stevia, I think overall this is a good product. If anyone out there has tried the Raw Organic Green Stevias and have found a favorite, let me know. Hope this review is helpful.UPDATE---Since, this review, I tried the Organic GREEN RAW STEVIA powder---used it twice and tossed it. Although healthy, it has a weed-like taste that totally ruined the taste of my coffee and tea.",positive
I don’t care for this. It gives things a strange flavor and gives me a headache. I bought this to make margaritas without sugar. It’s just not for me.,negative
1/2 were open at top,negative
A simple way to make delicious scones,positive
So glad to have found this. Exactly as described. Will buy again.,positive
Están muy ricos. La frescura es sorprendente. Como si recién los comprara en la tienda de la esquina.,positive
"Unfortunately, this is the second time I have ordered this coffee.  Both times the coffee was SUPER strong which is NOT what it should be since it is labeled as LIGHT roast!!  Way too strong for my taste!  If super strong is what you're looking for, THIS ONE is for you!!  Buyer Beware!",negative
mmm sumatra dark! it makes my mouth water just thinking about it.,positive
Great service product as described!! Thank you!,positive
My dad loves this coffee. It's a bit expensive but it's a luxury coffee that a special treat every so often. Makes for a great X-Mas gift for him,positive
"I have a Instant coffee maker and maybe it brews hotter than some other brands but I have never had a coffee pod actually warp in my machine before. I could definitely taste the plastic. I tried taking out the grounds and putting them in a reusable pod to see what the coffee would taste like, tasted like the worst coffee I've ever drank minus the plastic after taste. I'm so not a coffee snob, have no idea why there are so many good reviews. Also there was considerably more of the ""Donut Shop blend"" for those who are willing to take the risk. I was able to get a refund, so I am at least happy with that.",negative
This delicious mustard is the archetypal mustard of Dijon,positive
These coffees are a nice treat. They have just a hint of flavor but I still like them. It’s funny to taste the coffee and then try to guess the name of the flavor on the pod. It’s virtually impossible!,positive
I can't go back to store bought coffee after this. It's too good.,positive
"Getting fresh Maine blueberries seems to be out of the question unless you're in Maine.  We like the tiny, wild Maine blueberries, but we don't like them much when they're frozen, so we decided to try them canned.  This turns out to be the next best option after fresh.  You just drain them and use them for pie, cake, or whatever.  Still not as good as fresh, but better than frozen",positive
"Nice flavor coffee, not too heavy, not to light.  Seems to work out better for us than other flavors have. I buy it thru Amazon, as I get it sooner, it is cheaper, and more in the box for my money, than what is available at the grocery stores.",positive
"I really love this vanilla bean paste b/c there isn't any alcohol in it, so when I make something which doesn't require heating, I don't have to worry about that alcohol flavor you can get from other pastes or extracts. The flavor is true vanilla and the little bits of bean makes some things look a bit fancier.",positive
The packaging makes it difficult to use in a non-commercial setting.  I would not buy this again.,negative
Loved the selection of treats. Everything was delicious. Especially liked the chocolate pretzels.,positive
"Good price, nice that it comes to my door.  I put one in the freezer for later.",positive
"Watkins makes the best vanilla. Such a pure, clean vanilla scent, beautiful taste, and the clear color doesn't alter the color of the batter at all. I've been using this brand since I was a child and it's still just as great to this day!",positive
"Bought these for my son.  He says he likes all the flavors and had no issues with grounds as some reviewers have. He is using an original Keurig, not the 2.0. He is very happy with them, but he is not picky about his coffee.",positive
"These arrived dead and without water. My mother-in-law was so dissapointed, and so we're my husband and I. Not only did they come NINE days late, but they were dead.",negative
"Fast shipping, accurate information, easy purchase for not wanting to go to the store. Also delicious.",positive
"I wanted to try making herbal candies but worried it might not set in Florida's high humidity.  The product arrived today along with my order of candy molds and Lorann's flavor oils and food coloring. I just followed the simple directions on the box and got lovely results. Candy set up in about 30 minutes with no sickiness , just smooth and wonderful. The Hi Sweet powdered corn syrup is a great solution for candy making in humid climates!",positive
i’ve really struggled to find a protein powder i actually like and i’ve spent countless dollars doing so. this is the best protein powder i’ve ever tried! it tastes just like a peanut butter cookie and i absolutely love it!,positive
Found this tea in AZ on a business trip.  Addicted.  Really great flavors--coconutty and lemony at the same time.  Get it!,positive
This is a good mayo but don't get it confused with Kewpie mayonnaise because it is not Kewpie. It doesn't taste any different than Hellman's mayonaise.,positive
"In my sugar-free life I have used and tried several chocolate syrups made without refined sugar. This lacks enough chocolate flavor IMO, which was the whole point. Will not buy again.",negative
Great deal for such a delicious snack.,positive
"Didn't think I'd find a Bigs flavor that I like better than Old Bay but wow, these are incredible. A little more complex than just taco seasoning, which is what I'd expected. Not overly salty tasting, either. Well done!",positive
"[[ASIN:B000LKUXGU Camel Halvah Bar, Chocolate, 3-Ounce Bars (Pack of 20)]]These bars are great and difficult to find in US.I used to buy them in Canada and now I don't have to drive there, thanks to Amazon.comGood prices also.My favorite is the chocolate coated.",positive
"This is not as strong as the brand I had bought before. But that’s fine with me I think it has a better taste and I dare you to find a better price. My family really likes this, we use it often and we’ll buy this again.",positive
"These pickles are my favorite.  I will try to buy them somewhere else though as they were shipped in inadequate containers, and not marked fragile.  They were delivered by the post office and I sure hope that other people didn't get vinegar scented mail or other items because of a broken jar in my package.  The reason I bought them from Amazon was because believe it or not, I could not find them anywhere else. Maybe I'll taste some other brands and see if I can be happy with something I can get off the shelf in a local store.  The ones in the jars that didn't break are delicious as usual.",negative
"We add rice or noddles to the 6 oz of stock for a quick lunch soup. Very flavorful. Can also be added to a larger soup mix for flavor. This package contained corn, tomato, and mushroom soup packets. I like the tomato just plain, it has a very fine taste. Thin soup by itself but good with a sandwich.",positive
"So good, a must taste experience.",positive
"I am so addicted to this oatmeal.  :)  The taste is awesome, not dull, not too sweet, and it has a lot of great oatmeal texture and isn't mushy like other oatmeals.  I like my oatmeal thick so I don't put as much water in it as recommended, and it comes out fabulous.  I have it as a snack, perhaps not the healthiest choice of snack food (because of the added sugar and salt) but better than a pack of cookies or a candy bar.(I'm cracking up because I was going to make ""yummy"" a tag for this product, but someone already did!)",positive
Love this product...hard to find. Works perfectly for the Original Tunnel of Fudge cake! Discovered this year's ago. Glad to know where to find it!,positive
"Great, extremely hottt!!!",positive
One ofthe best flavors I've ever tasted!! Excellent,positive
Extra fine flour seller fast and fair!makes great bread smooth texture finish!likegreatsellerandproduct!,positive
& many of the noodles became mashed noodles.There are many other options at this price tag!I just threw out everything!Horrible quality!,negative
Another fine product from the Newman line.,positive
I have bought this several times. One reason is I cannot always get it at the grocery stores. this is my favorite brand and I love Tully's. Great price and I like keeping several boxes on hand. You will not be disappointed.,positive
