Comments,sentiments
Walking in just like thieves in the night.....but evidence dey!Waiting for the next concoct story from EFCC,positive
"NasoLifeBe!!!30 years no dey finish for banny, next year na still 30year",negative
"Our brothers will not see such... They have resorted to petty stuffs like...NOI is better than BAT because she took a selfie with Biden. BAT was not recognised and he was 'alone' during the world summit.Etc...Not like we care... if I were in their shoes,  I go dey run craze too 😂",negative
Jealously go kill dis boy oh... Win d nxt world Cup man and collect your own ballon d'or.... No dey fight with headMore emojis than worldcup  knockout Goals... Emojiman,negative
"Are you talking about the market to market management?It’s just a course any body can take online and you’ll get Havard certification. It’s just $1500 - $3000 range or so.Peter Obi the dullard can never go through the walls of Havard as a undergrad, master’s, or PhD student. The man can’t even get 280 in GRE, let alone getting the average 330 score to enter Havard.That’s why the lunatic Obi cannot tender his Havard certification to INEC because he know he can’t deceive learned people. Na only him dullarddd supporters dey take am serious.",negative
Dem Don give baba chair make e sit down..... U knw get money... U come dey fight again.... Now u Don buy market,negative
Wetin we dey see for Benin City everyday.Mtcheeeew... 😒,neutral
Mechanical Engineer CBN governor of the wailers....Dey wait for me to bring my diasporan remittance assuming I had any to you and your alibaba mates at your useless cursed rates to embezzle.Did you give me funds at any official rate to go hustle my diaspora remittance?All of una dey mad.,negative
The way guys dey pass this year waec and jamb especially waec is exceptional,negative
Everyone dey vow.Nigerian lawyers are the biggest winners here. Cash out season,neutral
Na who no get money dey cry injustice,negative
"Like d way someone always ask,,yahoo boyz dey use Corolla??",neutral
Wetin concern Igbo with Atiku asking for Tinubu results from CSUYou dey fear to confront Hausa Fulani man,negative
All these wey  em no dey implement. Na still one Anambra man go pay 6 billion naira yearly to state government so he can be in charge of tax collection in markets and motor parks in d state,negative
Na Zillion sharing dey load before the end of this year. This I have seen,neutral
"DBull on this one ...If that list doesn't include highlife musicians that have to carry more than 20 people along including drummer ,piano man,guitar man,even shekere man dey go Europe tour..Legends",neutral
"Na perfect one be Una problem, Una go Leave the most important thing wey Una suppose worry about, dey worry about nonsense...Me I'm not marrying until I have the perfect Money",negative
Check very well he was high on Chelsea dry gin and kolanut. Nigerian police officers no dey joke with kai kai and kolanut.,negative
Na from clap dance dey start.Alex Otti go don dey piss for body. Alexander OttiAbia State Caretaker GovernorMay 2023 to October 2023.,neutral
"Even makes it worse. Una Dey sleep on top bicycle, Fulani militias collect una land change the geopolitical zone to north central. On a Good Friday, with enough akpu, I could trek from Ogun to Kwara in 6 hours",positive
This Phantom X2 dey enter my eyes sha,neutral
"Gandollar fun raiAs Party Chairman, Dollar envelope go dey roll in from aspirants and party members Shetima, Ganduje both learnt Ibadan Politics while in University of Ibadan.",neutral
"Police DSP fit use N1m Samsung 2fold, but young men working in corporate not fit hold big phones, police go dey stop dem for roads.",neutral
"Attendance: Present ✔️Some people dey cry say work no dey,Some people dey collect double salary.Some dey even collect salary for company wey them no know the address.This country.., e be things",negative
Na una type dey evil if una join police force.,negative
"Be like them nor want make the poor masses go higher institution again... Even if you say ""thank God I don finish, your siblings or children go still enter... Tell me wetin still dey affordable for this conrtree 🤔",positive
BBC or Asiwaju blogger. Make you and your BAT dey deceive yourselves.,negative
"Those protesting'' when hungry don catch u, go to ur house and eat belleful before u come back'' because weather hot to avoid fainting or whatever.  As for me i dey my house ''with my handsome loud'' while zino' ruger and tdollar keep the vibe going''''",negative
This 1980.. Tinubu said 1979..Think paying for the csu official link will suffice.. not this achievers something.Because that’s the argument on the other thread..People only want to know  .  Certificate he used in getting admitted.Again .. all this already dey court ..beside this your personal findings.. just like others… e no prove anything Mere statement from “ his “ brother means nothing.. e no even carry paper weight.,negative
Lol if dem wan shut am down mak dem shut am at least we need a long break like Covid even though this one na with Sapa not like Covid time wey money dey....,neutral
"You can't read in between the lines.. she met a guy, they got talking, then she went to visit and sex happened.. not long after, the broda dey give excuse for her to leave, hanty left and has refused to answer broda's call for more adventures.",negative
Non of them on designers... Hardly seeing all these BILLIONAIRES ON CUBAN. THEM NOR DEY BURST ICE.,neutral
I bet anytin dey ll beat Man U,negative
y ur mind dey judge u? truly no peace 4 d wicked,negative
Abi Zombies dey there,neutral
"So old baby wey no wan grow old.No she is not 61 years, she is 88yrs.Una go dey alright las las.",neutral
Ehen?.Na so so sack una dey sack o,neutral
Dey play...He can't enter the chamber again if you like die.,negative
"Even you Sam Adeyemi.Else, why would you leave your church (Daystar) in Naija and reside in the US?Your ministers make money for you here every Sunday but you dey spend am abroad. So much capital flight from your ministry alone.Instead make you bring FDI into the country like the late TB Joshua turned Synagogue into a tourist center, yours na to dey cash out for Naija but groove for Yankee.You suppose sacrifice your abroad comfort for the flock you left at home but survival and comfort of your family is your priority.",negative
